action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV
move,auto_leave,,,,23,0,2,,0.0,0,,0.0,220.0,216.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,23,0,2,216.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,24,1,2,,0.0,0,,0.0,216.0,212.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,24,1,2,212.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,25,0,2,,0.0,0,,0.0,212.0,208.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,25,0,2,208.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,26,1,2,,0.0,0,,0.0,208.0,204.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,26,1,2,204.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,27,2,2,,0.0,0,,0.0,204.0,200.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,27,2,2,200.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,28,1,2,,0.0,0,,0.0,200.0,196.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,28,1,2,196.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,29,0,2,,0.0,0,,0.0,196.0,192.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,29,0,2,192.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,30,1,2,,0.0,0,,0.0,192.0,188.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,30,1,2,188.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,31,2,2,,0.0,0,,0.0,188.0,184.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,31,2,2,184.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,32,2,1,,0.0,0,,0.0,184.0,180.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,32,2,1,180.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
